# Donnees Temperature / Potentiel(calibré),pour V :  écart type =0.0 et moyenne = -2340.0
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
23.67,-2340.00
