# Donnees Temperature / Potentiel(calibré),pour V :  écart type =5.742786069211937 et moyenne = 253.14285714285714
21.61,260.00
21.61,250.00
21.64,250.00
21.61,250.00
21.61,250.00
21.64,250.00
21.61,250.00
21.61,250.00
21.64,250.00
21.61,250.00
21.61,260.00
21.64,260.00
21.64,260.00
21.64,260.00
21.61,250.00
21.61,260.00
21.64,260.00
21.64,260.00
21.61,260.00
21.64,250.00
21.64,260.00
21.64,250.00
21.61,250.00
21.61,250.00
21.64,260.00
21.64,260.00
21.64,250.00
21.64,250.00
21.64,260.00
21.64,250.00
21.64,250.00
21.61,250.00
21.64,250.00
21.61,250.00
21.61,250.00
21.61,250.00
21.61,250.00
21.64,250.00
21.64,260.00
21.64,250.00
21.64,260.00
21.64,250.00
21.64,250.00
21.64,250.00
21.68,250.00
21.64,250.00
21.64,250.00
21.64,250.00
21.64,250.00
21.64,250.00
21.61,250.00
21.64,260.00
21.64,250.00
21.64,250.00
21.64,240.00
21.64,260.00
21.64,260.00
21.64,250.00
21.64,250.00
21.68,240.00
21.68,260.00
21.68,250.00
21.68,240.00
21.68,260.00
21.64,260.00
21.68,250.00
21.68,250.00
21.64,260.00
21.68,250.00
21.64,260.00
21.68,250.00
21.68,260.00
21.64,260.00
21.68,250.00
21.68,260.00
21.68,250.00
21.64,240.00
21.64,260.00
21.61,250.00
21.64,250.00
